Title,Rating,Director,Writers,Stars,Keywords,Movie_Duration,Genre,Release_Year,Num_of_ratings
sleepers ,7.6, barry levinson, lorenzo carcaterra , robert de niro kevin bacon brad pitt ,sexual abuse kicked in the crotch gang rape confession booth physical assault,147,Crime,-1996,184542
lost highway ,7.6, david lynch, david lynch barry gifford, bill pullman patricia arquette john roselius ,surrealism doppelganger strong sexual content graphic violence breasts,134,Mystery,-1997,128604
sense and sensibility ,7.6, ang lee, jane austen , emma thompson kate winslet james fleet ,england 19th century based on novel black hair visit,136,Drama,-1995,100369
die hard with a vengeance ,7.6, john mctiernan, jonathan hensleigh roderick thorp , bruce willis jeremy irons samuel l jackson ,john mcclane character time bomb good versus evil male butt clench motor car,128,Action,-1995,358899
dead man ,7.6, jim jarmusch, jim jarmusch, johnny depp gary farmer crispin glover ,revisionist western neo noir arthouse wanted poster shot with an arrow,121,Adventure,-1995,89124
the bridges of madison county ,7.6, clint eastwood, richard lagravenese , clint eastwood meryl streep annie corley ,bridge love farm photographer housewife,135,Drama,-1995,71733
apollo 13 ,7.6, ron howard, jim lovell , tom hanks bill paxton kevin bacon ,1970s survival astronaut space mission rescue,140,Adventure,-1995,263534
three colors white ,7.6, krzysztof kieslowski, krzysztof kieslowski , zbigniew zamachowski julie delpy janusz gajos ,marriage obsession divorce wealth humiliation,92,Comedy,-1994,62566
falling down ,7.6, joel schumacher, ebbe roe smith, michael douglas robert duvall barbara hershey ,rage alienation urban decay social commentary downward spiral,113,Action,-1993,167752
dazed and confused ,7.6, richard linklater, richard linklater, jason london wiley wiggins matthew mcconaughey ,hazing high school last day of school football pledge,102,Comedy,-1993,162620
my cousin vinny ,7.6, jonathan lynn, dale launer, joe pesci marisa tomei ralph macchio ,trial pantyhose lawyer alabama jail,120,Comedy,-1992,104911
only yesterday ,7.6, isao takahata, hotaru okamoto , miki imai toshir yanagiba yoko honna ,studio ghibli two word title female protagonist flashback folk music,118,Animation,-1991,25933
delicatessen ,7.6, marc caro jeanpierre jeunet, jeanpierre jeunet , marielaure dougnac dominique pinon pascal benezech ,black comedy absurd comedy surrealist bed roof,99,Comedy,-1991,79515
the hunt for red october ,7.6, john mctiernan, tom clancy , sean connery alec baldwin scott glenn ,soviet submarine cold war era defection submarine navy,135,Action,-1990,176300
home alone ,7.6, chris columbus, john hughes, macaulay culkin joe pesci daniel stern ,christmas home alone burglary child protagonist booby trap,103,Comedy,-1990,454575
the godfather part iii ,7.6, francis ford coppola, mario puzo francis ford coppola, al pacino diane keaton andy garcia ,opera vatican italy gangster catholic church,162,Crime,-1990,352572
when harry met sally ,7.6, rob reiner, nora ephron, billy crystal meg ryan carrie fisher ,male female friendship opposites attract 1980s fake orgasm new york,95,Comedy,-1989,192027
national lampoons christmas vacation ,7.6, jeremiah s chechik as jeremiah chechik, john hughes, chevy chase beverly dangelo juliette lewis ,pantyhose christmas family comedy christmas gathering christmas bonus,97,Comedy,-1989,148810
